,liste,nomNuance,nuance,annee,election,tour,region,departement,canton,inscrits,votants,exprimes,voix,clef,code_canton,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
44,M. ALI Mohamed et Mme ALI Ramlati,Divers gauche,BC-DVG,2015,Départementales,2,06,976,11,3795,2528,2436,1016,Départementales22015,97611,41.71,66.61,2.42,Rose clair,#FFAECD
45,M. ALI Mohamed et Mme ALI Ramlati,Divers gauche,BC-DVG,2015,Départementales,2,06,976,11,3795,2528,2436,1016,Départementales22015,97611,41.71,66.61,2.42,Rose,#FF5E9A
46,M. ALLAERT David et Mme MERSCH Véronique,Divers gauche,BC-DVG,2015,Départementales,1,11,77,07,45438,21856,20872,1266,Départementales12015,77007,6.07,48.1,2.17,Rose clair,#FFAECD
47,M. ALLAERT David et Mme MERSCH Véronique,Divers gauche,BC-DVG,2015,Départementales,1,11,77,07,45438,21856,20872,1266,Départementales12015,77007,6.07,48.1,2.17,Rose,#FF5E9A
48,M. ALLORY Francis et Mme BOUHRARA Sylvie,Divers gauche,BC-DVG,2015,Départementales,1,11,95,10,36772,15612,15140,279,Départementales12015,95010,1.84,42.46,1.28,Rose clair,#FFAECD
49,M. ALLORY Francis et Mme BOUHRARA Sylvie,Divers gauche,BC-DVG,2015,Départementales,1,11,95,10,36772,15612,15140,279,Départementales12015,95010,1.84,42.46,1.28,Rose,#FF5E9A
50,M. ALVAREZ Benoît et Mme SUTRA-DENJEAN Nadège,Divers gauche,BC-DVG,2015,Départementales,1,76,09,12,9367,5735,5087,2310,Départementales12015,09012,45.41,61.23,6.92,Rose clair,#FFAECD
51,M. ALVAREZ Benoît et Mme SUTRA-DENJEAN Nadège,Divers gauche,BC-DVG,2015,Départementales,1,76,09,12,9367,5735,5087,2310,Départementales12015,09012,45.41,61.23,6.92,Rose,#FF5E9A
52,M. ALVAREZ Benoît et Mme SUTRA-DENJEAN Nadège,Divers gauche,BC-DVG,2015,Départementales,2,76,09,12,9367,6027,5483,2910,Départementales22015,09012,53.07,64.34,5.81,Rose clair,#FFAECD
53,M. ALVAREZ Benoît et Mme SUTRA-DENJEAN Nadège,Divers gauche,BC-DVG,2015,Départementales,2,76,09,12,9367,6027,5483,2910,Départementales22015,09012,53.07,64.34,5.81,Rose,#FF5E9A
54,M. ALVAREZ François et Mme LORCA Christiane,Divers gauche,BC-DVG,2015,Départementales,1,76,09,06,10242,5878,5558,246,Départementales12015,09006,4.43,57.39,3.12,Rose clair,#FFAECD
55,M. ALVAREZ François et Mme LORCA Christiane,Divers gauche,BC-DVG,2015,Départementales,1,76,09,06,10242,5878,5558,246,Départementales12015,09006,4.43,57.39,3.12,Rose,#FF5E9A
56,M. AMADIEU Laurent et Mme BOULLE Laetitia,Divers gauche,BC-DVG,2015,Départementales,1,84,38,10,30441,15053,14609,3325,Départementales12015,38010,22.76,49.45,1.46,Rose clair,#FFAECD
57,M. AMADIEU Laurent et Mme BOULLE Laetitia,Divers gauche,BC-DVG,2015,Départementales,1,84,38,10,30441,15053,14609,3325,Départementales12015,38010,22.76,49.45,1.46,Rose,#FF5E9A
58,M. AMIDEI Jean Louis et Mme CERVETTI Emmanuelle,Divers gauche,BC-DVG,2015,Départementales,1,94,2A,01,8261,3967,3657,791,Départementales12015,2A001,21.63,48.02,3.75,Rose clair,#FFAECD
59,M. AMIDEI Jean Louis et Mme CERVETTI Emmanuelle,Divers gauche,BC-DVG,2015,Départementales,1,94,2A,01,8261,3967,3657,791,Départementales12015,2A001,21.63,48.02,3.75,Rose,#FF5E9A
60,M. AMZIANE Samir et Mme AZOUG Nadia,Divers gauche,BC-DVG,2015,Départementales,1,11,93,15,32699,12981,12511,2331,Départementales12015,93015,18.63,39.7,1.44,Rose clair,#FFAECD
61,M. AMZIANE Samir et Mme AZOUG Nadia,Divers gauche,BC-DVG,2015,Départementales,1,11,93,15,32699,12981,12511,2331,Départementales12015,93015,18.63,39.7,1.44,Rose,#FF5E9A
62,M. ANDREU SABATER Marc et Mme EUDE Reine,Divers gauche,BC-DVG,2015,Départementales,1,28,14,25,18557,9954,9350,3815,Départementales12015,14025,40.8,53.64,3.25,Rose clair,#FFAECD
63,M. ANDREU SABATER Marc et Mme EUDE Reine,Divers gauche,BC-DVG,2015,Départementales,1,28,14,25,18557,9954,9350,3815,Départementales12015,14025,40.8,53.64,3.25,Rose,#FF5E9A
64,M. ANDREU SABATER Marc et Mme EUDE Reine,Divers gauche,BC-DVG,2015,Départementales,2,28,14,25,18559,9867,8928,5008,Départementales22015,14025,56.09,53.17,5.06,Rose clair,#FFAECD
65,M. ANDREU SABATER Marc et Mme EUDE Reine,Divers gauche,BC-DVG,2015,Départementales,2,28,14,25,18559,9867,8928,5008,Départementales22015,14025,56.09,53.17,5.06,Rose,#FF5E9A
66,M. ANDRIEUX Georges et Mme SALVAYRE Fatiha,Divers gauche,BC-DVG,2015,Départementales,1,76,12,21,9596,5806,5478,470,Départementales12015,12021,8.58,60.5,3.42,Rose clair,#FFAECD
67,M. ANDRIEUX Georges et Mme SALVAYRE Fatiha,Divers gauche,BC-DVG,2015,Départementales,1,76,12,21,9596,5806,5478,470,Départementales12015,12021,8.58,60.5,3.42,Rose,#FF5E9A
68,M. ANGERS Jean Paul et Mme ROTHMANN Maud,Divers gauche,BC-DVG,2015,Départementales,1,44,51,08,18707,8832,8357,1517,Départementales12015,51008,18.15,47.21,2.54,Rose clair,#FFAECD
69,M. ANGERS Jean Paul et Mme ROTHMANN Maud,Divers gauche,BC-DVG,2015,Départementales,1,44,51,08,18707,8832,8357,1517,Départementales12015,51008,18.15,47.21,2.54,Rose,#FF5E9A
70,M. ANLIMOUDINE Bacar et Mme SAID Mariam,Divers gauche,BC-DVG,2015,Départementales,1,06,976,06,3840,2285,2190,433,Départementales12015,97606,19.77,59.51,2.47,Rose clair,#FFAECD
71,M. ANLIMOUDINE Bacar et Mme SAID Mariam,Divers gauche,BC-DVG,2015,Départementales,1,06,976,06,3840,2285,2190,433,Départementales12015,97606,19.77,59.51,2.47,Rose,#FF5E9A
72,M. AOUNIT Hakim et Mme BACHA Farida,Divers gauche,BC-DVG,2015,Départementales,1,84,42,18,20892,8770,8411,212,Départementales12015,42018,2.52,41.98,1.72,Rose clair,#FFAECD
73,M. AOUNIT Hakim et Mme BACHA Farida,Divers gauche,BC-DVG,2015,Départementales,1,84,42,18,20892,8770,8411,212,Départementales12015,42018,2.52,41.98,1.72,Rose,#FF5E9A
74,M. ARGILIER Alain et Mme DONNADIEU Brigitte,Divers gauche,BC-DVG,2015,Départementales,1,76,48,05,3764,2406,2244,537,Départementales12015,48005,23.93,63.92,4.3,Rose clair,#FFAECD
75,M. ARGILIER Alain et Mme DONNADIEU Brigitte,Divers gauche,BC-DVG,2015,Départementales,1,76,48,05,3764,2406,2244,537,Départementales12015,48005,23.93,63.92,4.3,Rose,#FF5E9A
76,M. ARGILIER Alain et Mme DONNADIEU Brigitte,Divers gauche,BC-DVG,2015,Départementales,2,76,48,05,3764,2397,2111,824,Départementales22015,48005,39.03,63.68,7.6,Rose clair,#FFAECD
77,M. ARGILIER Alain et Mme DONNADIEU Brigitte,Divers gauche,BC-DVG,2015,Départementales,2,76,48,05,3764,2397,2111,824,Départementales22015,48005,39.03,63.68,7.6,Rose,#FF5E9A
78,M. ARMAND Florent et Mme TRUPHEME Anne,Divers gauche,BC-DVG,2015,Départementales,1,93,05,11,5795,3748,3556,1139,Départementales12015,05011,32.03,64.68,3.31,Rose clair,#FFAECD
79,M. ARMAND Florent et Mme TRUPHEME Anne,Divers gauche,BC-DVG,2015,Départementales,1,93,05,11,5795,3748,3556,1139,Départementales12015,05011,32.03,64.68,3.31,Rose,#FF5E9A
80,M. ARMAND Florent et Mme TRUPHEME Anne,Divers gauche,BC-DVG,2015,Départementales,2,93,05,11,5831,3742,3375,1781,Départementales22015,05011,52.77,64.17,6.29,Rose clair,#FFAECD
81,M. ARMAND Florent et Mme TRUPHEME Anne,Divers gauche,BC-DVG,2015,Départementales,2,93,05,11,5831,3742,3375,1781,Départementales22015,05011,52.77,64.17,6.29,Rose,#FF5E9A
82,M. ARNAL Didier et Mme CHATELLIER Maria,Divers gauche,BC-DVG,2015,Départementales,1,11,95,18,27928,8361,7997,625,Départementales12015,95018,7.82,29.94,1.3,Rose clair,#FFAECD
83,M. ARNAL Didier et Mme CHATELLIER Maria,Divers gauche,BC-DVG,2015,Départementales,1,11,95,18,27928,8361,7997,625,Départementales12015,95018,7.82,29.94,1.3,Rose,#FF5E9A
84,M. ARNAUDET Christian et Mme LEMOINE Charlotte,Divers gauche,BC-DVG,2015,Départementales,1,28,76,34,20070,9998,9479,817,Départementales12015,76034,8.62,49.82,2.59,Rose clair,#FFAECD
85,M. ARNAUDET Christian et Mme LEMOINE Charlotte,Divers gauche,BC-DVG,2015,Départementales,1,28,76,34,20070,9998,9479,817,Départementales12015,76034,8.62,49.82,2.59,Rose,#FF5E9A
86,M. ARRIUBERGE Jean et Mme CAMBON Valérie,Divers gauche,BC-DVG,2015,Départementales,1,75,64,17,16506,9436,8920,2173,Départementales12015,64017,24.36,57.17,3.13,Rose clair,#FFAECD
87,M. ARRIUBERGE Jean et Mme CAMBON Valérie,Divers gauche,BC-DVG,2015,Départementales,1,75,64,17,16506,9436,8920,2173,Départementales12015,64017,24.36,57.17,3.13,Rose,#FF5E9A
88,M. ARRIUBERGE Jean et Mme CAMBON Valérie,Divers gauche,BC-DVG,2015,Départementales,2,75,64,17,16504,9589,8695,4374,Départementales22015,64017,50.3,58.1,5.42,Rose clair,#FFAECD
89,M. ARRIUBERGE Jean et Mme CAMBON Valérie,Divers gauche,BC-DVG,2015,Départementales,2,75,64,17,16504,9589,8695,4374,Départementales22015,64017,50.3,58.1,5.42,Rose,#FF5E9A
90,M. ARTAZ Jérôme et Mme MICHAUD Isabelle,Divers gauche,BC-DVG,2015,Départementales,1,27,89,11,12410,6376,6151,364,Départementales12015,89011,5.92,51.38,1.81,Rose clair,#FFAECD
91,M. ARTAZ Jérôme et Mme MICHAUD Isabelle,Divers gauche,BC-DVG,2015,Départementales,1,27,89,11,12410,6376,6151,364,Départementales12015,89011,5.92,51.38,1.81,Rose,#FF5E9A
92,M. ARTHUYS Jacques et Mme GARGAUD Maryse,Divers gauche,BC-DVG,2015,Départementales,1,76,09,07,8224,4295,3947,503,Départementales12015,09007,12.74,52.23,4.23,Rose clair,#FFAECD
93,M. ARTHUYS Jacques et Mme GARGAUD Maryse,Divers gauche,BC-DVG,2015,Départementales,1,76,09,07,8224,4295,3947,503,Départementales12015,09007,12.74,52.23,4.23,Rose,#FF5E9A
94,M. ASTRUC Christian et Mme MAURIEGE Marie-José,Divers gauche,BC-DVG,2015,Départementales,1,76,82,04,9818,6226,6001,1679,Départementales12015,82004,27.98,63.41,2.29,Rose clair,#FFAECD
95,M. ASTRUC Christian et Mme MAURIEGE Marie-José,Divers gauche,BC-DVG,2015,Départementales,1,76,82,04,9818,6226,6001,1679,Départementales12015,82004,27.98,63.41,2.29,Rose,#FF5E9A
96,M. ASTRUC Christian et Mme MAURIEGE Marie-José,Divers gauche,BC-DVG,2015,Départementales,2,76,82,04,9808,6214,5927,2621,Départementales22015,82004,44.22,63.36,2.93,Rose clair,#FFAECD
97,M. ASTRUC Christian et Mme MAURIEGE Marie-José,Divers gauche,BC-DVG,2015,Départementales,2,76,82,04,9808,6214,5927,2621,Départementales22015,82004,44.22,63.36,2.93,Rose,#FF5E9A
98,M. AUBERT Michel et Mme BONNAFOUX Corinne,Divers gauche,BC-DVG,2015,Départementales,1,11,78,19,51839,23247,22561,1994,Départementales12015,78019,8.84,44.84,1.32,Rose clair,#FFAECD
99,M. AUBERT Michel et Mme BONNAFOUX Corinne,Divers gauche,BC-DVG,2015,Départementales,1,11,78,19,51839,23247,22561,1994,Départementales12015,78019,8.84,44.84,1.32,Rose,#FF5E9A
100,M. AUBRY Antoine et Mme LECLER Fabienne,Divers gauche,BC-DVG,2015,Départementales,1,28,50,23,15807,7563,7036,847,Départementales12015,50023,12.04,47.85,3.33,Rose clair,#FFAECD
101,M. AUBRY Antoine et Mme LECLER Fabienne,Divers gauche,BC-DVG,2015,Départementales,1,28,50,23,15807,7563,7036,847,Départementales12015,50023,12.04,47.85,3.33,Rose,#FF5E9A
102,M. AURY Thierry et Mme FONTAINE Jacqueline,Divers gauche,BC-DVG,2015,Départementales,1,32,60,01,25662,13201,12672,1705,Départementales12015,60001,13.45,51.44,2.06,Rose clair,#FFAECD
103,M. AURY Thierry et Mme FONTAINE Jacqueline,Divers gauche,BC-DVG,2015,Départementales,1,32,60,01,25662,13201,12672,1705,Départementales12015,60001,13.45,51.44,2.06,Rose,#FF5E9A
104,M. AUSPITZ Georges et Mme GOUSSAULT Leslie,Divers gauche,BC-DVG,2015,Départementales,1,84,38,02,34147,16138,15606,803,Départementales12015,38002,5.15,47.26,1.56,Rose clair,#FFAECD
105,M. AUSPITZ Georges et Mme GOUSSAULT Leslie,Divers gauche,BC-DVG,2015,Départementales,1,84,38,02,34147,16138,15606,803,Départementales12015,38002,5.15,47.26,1.56,Rose,#FF5E9A
106,M. AYROLES Francis et Mme BONHOMME Sylvie,Divers gauche,BC-DVG,2015,Départementales,1,76,46,06,7971,4827,4504,726,Départementales12015,46006,16.12,60.56,4.05,Rose clair,#FFAECD
107,M. AYROLES Francis et Mme BONHOMME Sylvie,Divers gauche,BC-DVG,2015,Départementales,1,76,46,06,7971,4827,4504,726,Départementales12015,46006,16.12,60.56,4.05,Rose,#FF5E9A
108,M. AÏT-HAMMA Larbi et Mme BRUNI Thiaba,Divers gauche,BC-DVG,2015,Départementales,1,11,94,21,23267,9836,9462,475,Départementales12015,94021,5.02,42.27,1.61,Rose clair,#FFAECD
109,M. AÏT-HAMMA Larbi et Mme BRUNI Thiaba,Divers gauche,BC-DVG,2015,Départementales,1,11,94,21,23267,9836,9462,475,Départementales12015,94021,5.02,42.27,1.61,Rose,#FF5E9A
110,M. BACHO Sauveur et Mme ROBERT Véronique,Divers gauche,BC-DVG,2015,Départementales,1,75,64,22,16454,10064,9600,1931,Départementales12015,64022,20.11,61.16,2.82,Rose clair,#FFAECD
111,M. BACHO Sauveur et Mme ROBERT Véronique,Divers gauche,BC-DVG,2015,Départementales,1,75,64,22,16454,10064,9600,1931,Départementales12015,64022,20.11,61.16,2.82,Rose,#FF5E9A
112,M. BADEL Marc et Mme JURY Laurence,Divers gauche,BC-DVG,2015,Départementales,1,11,94,20,29195,11685,11347,335,Départementales12015,94020,2.95,40.02,1.16,Rose clair,#FFAECD
113,M. BADEL Marc et Mme JURY Laurence,Divers gauche,BC-DVG,2015,Départementales,1,11,94,20,29195,11685,11347,335,Départementales12015,94020,2.95,40.02,1.16,Rose,#FF5E9A
114,M. BADIATA KANZA Daniel et Mme TALLET Maud,Divers gauche,BC-DVG,2015,Départementales,1,11,77,01,32593,12685,12183,2635,Départementales12015,77001,21.63,38.92,1.54,Rose clair,#FFAECD
115,M. BADIATA KANZA Daniel et Mme TALLET Maud,Divers gauche,BC-DVG,2015,Départementales,1,11,77,01,32593,12685,12183,2635,Départementales12015,77001,21.63,38.92,1.54,Rose,#FF5E9A
116,M. BADIE Coco et Mme CASTANIER Magali,Divers gauche,BC-DVG,2015,Départementales,1,75,47,14,12775,7188,6845,269,Départementales12015,47014,3.93,56.27,2.68,Rose clair,#FFAECD
117,M. BADIE Coco et Mme CASTANIER Magali,Divers gauche,BC-DVG,2015,Départementales,1,75,47,14,12775,7188,6845,269,Départementales12015,47014,3.93,56.27,2.68,Rose,#FF5E9A
118,M. BADJILY François et Mme MAXIMIN Christine,Divers gauche,BC-DVG,2015,Départementales,1,93,05,05,8731,4464,4005,0,Départementales12015,05005,0.0,51.13,5.26,Rose clair,#FFAECD
119,M. BADJILY François et Mme MAXIMIN Christine,Divers gauche,BC-DVG,2015,Départementales,1,93,05,05,8731,4464,4005,0,Départementales12015,05005,0.0,51.13,5.26,Rose,#FF5E9A
120,M. BAGEA Thierry et Mme MARCIN NÉE CHICOT Germaine,Divers gauche,BC-DVG,2015,Départementales,1,01,971,03,11275,4930,4237,197,Départementales12015,97103,4.65,43.73,6.15,Rose clair,#FFAECD
121,M. BAGEA Thierry et Mme MARCIN NÉE CHICOT Germaine,Divers gauche,BC-DVG,2015,Départementales,1,01,971,03,11275,4930,4237,197,Départementales12015,97103,4.65,43.73,6.15,Rose,#FF5E9A
122,M. BAILLY Alain et Mme DAGO Aurore,Divers gauche,BC-DVG,2015,Départementales,1,27,71,18,11865,6438,6067,824,Départementales12015,71018,13.58,54.26,3.13,Rose clair,#FFAECD
123,M. BAILLY Alain et Mme DAGO Aurore,Divers gauche,BC-DVG,2015,Départementales,1,27,71,18,11865,6438,6067,824,Départementales12015,71018,13.58,54.26,3.13,Rose,#FF5E9A
124,M. BARATON Jean-Pierre et Mme CHARGÉ Béatrice,Divers gauche,BC-DVG,2015,Départementales,1,75,79,01,15803,8041,7471,560,Départementales12015,79001,7.5,50.88,3.61,Rose clair,#FFAECD
125,M. BARATON Jean-Pierre et Mme CHARGÉ Béatrice,Divers gauche,BC-DVG,2015,Départementales,1,75,79,01,15803,8041,7471,560,Départementales12015,79001,7.5,50.88,3.61,Rose,#FF5E9A
126,M. BARBALAT Laurent et Mme MAUREL Odile,Divers gauche,BC-DVG,2015,Départementales,1,84,43,16,7945,4731,4280,1076,Départementales12015,43016,25.14,59.55,5.68,Rose clair,#FFAECD
127,M. BARBALAT Laurent et Mme MAUREL Odile,Divers gauche,BC-DVG,2015,Départementales,1,84,43,16,7945,4731,4280,1076,Départementales12015,43016,25.14,59.55,5.68,Rose,#FF5E9A
128,M. BARBALAT Laurent et Mme MAUREL Odile,Divers gauche,BC-DVG,2015,Départementales,2,84,43,16,7945,4908,4558,1236,Départementales22015,43016,27.12,61.77,4.41,Rose clair,#FFAECD
129,M. BARBALAT Laurent et Mme MAUREL Odile,Divers gauche,BC-DVG,2015,Départementales,2,84,43,16,7945,4908,4558,1236,Départementales22015,43016,27.12,61.77,4.41,Rose,#FF5E9A
